teryt;powiat;hotele2012;hotele2017
0201;bolesławiecki;7;9
0202;dzierżoniowski;6;13
0203;głogowski;4;4
0204;górowski;0;0
0205;jaworski;5;4
0206;jeleniogórski;106;103
0207;kamiennogórski;3;4
0208;kłodzki;57;72
0209;legnicki;3;3
0210;lubański;24;26
0211;lubiński;5;7
0212;lwówecki;3;4
0213;milicki;3;3
0214;oleśnicki;7;7
0215;oławski;5;6
0216;polkowicki;5;3
0217;strzeliński;1;1
0218;średzki;3;4
0219;świdnicki;12;12
0220;trzebnicki;5;5
0221;wałbrzyski;14;10
0222;wołowski;2;1
0223;wrocławski;8;12
0224;ząbkowicki;4;5
0225;zgorzelecki;5;9
0226;złotoryjski;1;1
0261;m.Jelenia Góra;17;16
0262;m.Legnica;7;9
0264;m.Wrocław;53;56
0265;m.Wałbrzych od 2013;;7
0401;aleksandrowski;10;18
0402;brodnicki;5;10
0403;bydgoski;10;16
0404;chełmiński;3;4
0405;golubsko-dobrzyński;3;3
0406;grudziądzki;1;2
0407;inowrocławski;8;8
0408;lipnowski;3;5
0409;mogileński;2;3
0410;nakielski;4;5
0411;radziejowski;0;0
0412;rypiński;1;2
0413;sępoleński;3;5
0414;świecki;7;9
0415;toruński;6;10
0416;tucholski;1;2
0417;wąbrzeski;0;1
0418;włocławski;3;3
0419;żniński;5;6
0461;m.Bydgoszcz;20;30
0462;m.Grudziądz;6;9
0463;m.Toruń;30;33
0464;m.Włocławek;9;12
0601;bialski;9;11
0602;biłgorajski;6;6
0603;chełmski;2;2
0604;hrubieszowski;2;4
0605;janowski;2;4
0606;krasnostawski;4;4
0607;kraśnicki;1;1
0608;lubartowski;4;6
0609;lubelski;11;15
0610;łęczyński;2;2
0611;łukowski;1;2
0612;opolski;4;6
0613;parczewski;2;3
0614;puławski;16;29
0615;radzyński;2;2
0616;rycki;4;2
0617;świdnicki;2;7
0618;tomaszowski;4;8
0619;włodawski;3;4
0620;zamojski;6;8
0661;m.Biała Podlaska;7;8
0662;m.Chełm;4;4
0663;m.Lublin;21;37
0664;m.Zamość;11;13
0801;gorzowski;6;4
0802;krośnieński;6;4
0803;międzyrzecki;13;13
0804;nowosolski;7;6
