what;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
students.public.total;1266288;1300508;1330717;1319098;1287386;1262249;1252124;1247142;1237457;1218416;1217020;1150859;1109752;1074760;1033801;969542
students.public.fulltime;707848;746372;779438;796592;797051;794818;797239;815270;835895;858039;885963;859774;850733;838212;813236;764086
students.public.parttime;492584;491688;493038;469284;490335;467431;454885;431872;401562;360377;331057;291085;259019;236548;220565;205456
students.nonpublic.total;530364;545956;582112;620800;640313;660467;659396;633097;580076;518196;458795;397889;358654;329034;313680;320703
students.nonpublic.fulltime;118256;127023;139140;147803;146205;136731;120518;110269;98144;88519;83715;79525;78306;80172;81906;88300
students.nonpublic.parttime;380052;388131;412417;443388;494108;523736;538878;522828;481932;429677;375080;318364;280348;248862;231774;232403
graduates.public.total;221299;237841;247562;259315;260852;263427;263661;278986;305513;320824;326599;314165;301826;288971;274681;297202
graduates.public.fulltime;101122;109139;117386;130838;140657;150394;155873;170431;196062;210227;222560;222023;223053;219358;214047;231854
graduates.public.parttime;106192;114585;116625;115887;120195;113033;107788;108555;109451;110597;104039;92142;78773;69613;60634;65348
graduates.nonpublic.total;119968;126039;133970;129227;130844;144639;154846;157563;169039;171822;158400;140821;122491;106016;89718;90130
graduates.nonpublic.fulltime;23125;23816;24786;24744;26209;31048;31647;30175;29757;26330;23818;20838;19214;18471;17572;19044
graduates.nonpublic.parttime;90917;95550;101347;96117;104635;113591;123199;127388;139282;145492;134582;119983;103277;87545;72146;71086













