teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1;status;areaH;areakm;pop;popkm;rankA;rankP
0201;02;bolesławiecki;3;1614743;22338;7;9;0;0;204.8;sw;;130351;1304;90173;69;64;100
0202;02;dzierżoniowski;0;0;0;6;13;0;0;178.19;sw;;47851;479;102077;213;285;79
0203;02;głogowski;1;630194;12324;4;4;1;158;310.81;sw;;44327;443;89933;203;293;102
0204;02;górowski;6;3871301;50473;0;0;0;0;137.34;sw;;73827;738;35473;48;199;299
0205;02;jaworski;0;0;0;5;4;0;0;167.53;sw;;58155;582;50947;88;261;241
0206;02;jeleniogórski;0;0;0;106;103;0;0;193.31;sw;;62714;627;64178;102;242;186
0207;02;kamiennogórski;0;0;0;3;4;0;0;161.72;sw;;39569;396;43999;111;301;271
0208;02;kłodzki;1;228019;3746;57;72;1;144;166.75;sw;;164330;1642;160465;98;25;17
0209;02;legnicki;9;6234625;208013;3;3;0;0;197.12;sw;;74408;744;55233;74;196;227
0210;02;lubański;0;0;0;24;26;0;0;178.04;sw;;42830;428;54991;128;296;228
0211;02;lubiński;11;35688934;2273143;5;7;0;152;385.82;sw;;71162;712;106320;149;212;75
0212;02;lwówecki;5;1431404;130727;3;4;0;0;147.43;sw;;70969;710;46360;65;214;257
0213;02;milicki;0;0;0;3;3;0;0;174.79;sw;;71493;715;37125;52;209;294
0214;02;oleśnicki;2;570581;35630;7;7;0;0;210.44;sw;;104931;1049;106907;102;112;74
0215;02;oławski;1;291151;5314;5;6;0;0;258.45;sw;;52410;524;76505;146;276;144
0216;02;polkowicki;0;0;0;5;3;1;152;386.56;sw;;77946;779;63017;81;185;190
0217;02;strzeliński;4;1069860;76530;1;1;0;0;183.66;sw;;62206;622;44006;71;246;270
0218;02;średzki(śląskie);3;1207822;66458;3;4;0;0;228.32;sw;;70414;704;53722;76;216;231
0219;02;świdnicki(śląskie);12;9089510;446776;12;12;0;89;232.29;sw;;74114;741;158392;214;197;19
0220;02;trzebnicki;1;724781;23591;5;5;0;0;232.24;sw;;102478;1025;84495;82;121;115
0221;02;wałbrzyski;4;1160225;76234;14;10;0;0;193.95;sw;;43022;430;56446;131;295;217
0222;02;wołowski;5;3277466;268429;2;1;0;0;204.92;sw;;67496;675;47124;70;229;255
0223;02;wrocławski;65;53172007;1795457;8;12;0;0;385.87;sw;;111770;1118;141337;126;104;29
0224;02;ząbkowicki;2;496889;9400;4;5;0;0;168.7;sw;;80153;802;66009;82;180;179
0225;02;zgorzelecki;3;912275;15323;5;9;0;0;257.19;sw;;83860;839;90584;108;167;98
0226;02;złotoryjski;1;168241;8085;1;1;0;0;NA;sw;;57581;576;44126;77;264;266
0261;02;m.JeleniaGóra;0;0;0;17;16;1;589;253.36;sw;c;10922;109;80072;733;25;45
0262;02;m.Legnica;0;0;0;7;9;2;863;268.84;sw;c;5629;56;100324;1782;50;39
0265;02;m.Wałbrzych;0;0;0;;7;2;754;222.31;sw;c;8470;85;113621;1341;34;33
0264;02;m.Wrocław;0;0;0;53;56;25;31895;411.34;sw;c;29282;293;638586;2181;5;4
0401;04;aleksandrowski;1;228005;4963;10;18;0;0;162.58;n;;47463;475;55337;117;286;226
0402;04;brodnicki;4;1620582;44504;5;10;0;43;176.28;n;;103997;1040;78879;76;116;132
0403;04;bydgoski;0;0;0;10;16;0;0;295.83;n;;139412;1395;115981;83;48;52
0404;04;chełmiński;0;0;0;3;4;0;0;155.81;n;;52694;527;52292;99;275;236
0405;04;golubsko-dobrzyński;5;3105710;124385;3;3;0;0;151.47;n;;61285;613;45289;74;254;264
0406;04;grudziądzki;0;0;0;1;2;0;0;143.57;n;;72776;728;40368;55;205;284
0407;04;inowrocławski;7;8415193;17570;8;8;1;221;193.48;n;;122518;1225;161591;132;78;16
0408;04;lipnowski;0;0;0;3;5;0;0;119.29;n;;101574;1016;66517;65;123;174
0409;04;mogileński;0;0;0;2;3;0;0;166.66;n;;67512;675;46046;68;228;260
0410;04;nakielski;2;988759;2475;4;5;0;0;167.61;n;;112008;1120;86764;77;101;109
0411;04;radziejowski;0;0;0;0;0;0;0;132.27;n;;60720;607;40898;67;256;283
0412;04;rypiński;4;759155;68347;1;2;0;0;143.75;n;;58647;586;44029;75;259;268
0413;04;sępoleński;1;156256;10974;3;5;0;0;129.35;n;;79109;791;41373;52;183;281
0414;04;świecki;9;5262273;725197;7;9;1;36;188.27;n;;147418;1474;99505;67;39;81
0415;04;toruński;16;21262083;1079880;6;10;0;0;199.81;n;;123042;1230;105631;86;77;77
0416;04;tucholski;0;0;0;1;2;1;131;137.27;n;;107546;1075;48438;45;107;249
0417;04;wąbrzeski;1;1259480;10156;0;1;0;0;150.93;n;;50195;502;34612;69;280;302
0418;04;włocławski;6;15953422;471772;3;3;0;0;141.49;n;;147363;1474;86604;59;40;110
0419;04;żniński;0;0;0;5;6;0;0;150.7;n;;98477;985;70534;72;132;164
0461;04;m.Bydgoszcz;16;6058982;-425371;20;30;8;8528;284.71;n;c;17598;176;352313;2002;11;8
0462;04;m.Grudziądz;0;0;0;6;9;2;33;210.62;n;c;5776;58;95629;1656;48;40
0463;04;m.Toruń;0;0;0;30;33;4;7442;293.09;n;c;11572;116;202562;1750;22;16
0464;04;m.Włocławek;0;0;0;9;12;2;651;236.89;n;c;8432;84;111752;1325;35;34
0601;06;bialski;1;454342;1220;9;11;0;0;116.49;e;;275426;2755;111922;41;3;64
0602;06;biłgorajski;3;2529767;13780;6;6;0;0;114.93;e;;168110;1681;101949;61;20;80
0603;06;chełmski;0;0;0;2;2;0;0;98.92;e;;188560;1887;78579;42;11;134
0604;06;hrubieszowski;2;439788;25530;2;4;0;0;110.47;e;;126802;1268;64428;51;70;184
0605;06;janowski;0;0;0;2;4;0;0;118.75;e;;87528;875;46306;53;160;258
0606;06;krasnostawski;0;0;0;4;4;0;0;127.83;e;;103144;1031;64432;62;118;183
0607;06;kraśnicki;2;501583;4137;1;1;0;0;121.65;e;;100530;1005;96574;96;126;88
0608;06;lubartowski;2;472923;28667;4;6;0;0;134.3;e;;128874;1289;89040;69;66;103
0609;06;lubelski;22;11596537;446007;11;15;0;0;172.4;e;;167953;1680;153380;91;21;22
0610;06;łęczyński;4;3211513;821938;2;2;0;0;183.42;e;;63664;637;57461;90;241;210
