Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;excoords;q;xcoord;ycoord
1;1;Polski Koncern Naftowy Orlen SA GK, Płock;1920;95364000;7173000;Płock, PL;52.546452 19.700861;PL,PL;52.543238;19.702961
2;2;Jeronimo Martins Polska SA, Kostrzyn;4719;48166199;1721514;Kostrzyn, PL;52.395871 17.230281;PL,PL;52.392223;17.233312
3;3;PGNiG SA GK, Warszawa;3523;35857000;2921000;Warszawa, PL;52.231924 21.006727;PL,PL;52.218941;21.001702
4;6;Grupa Lotos SA GK, Gdańsk;1920;24185600;1671800;Gdańsk, PL;54.347628 18.645203;PL,PL;54.331536;18.653964
5;5;Eurocash SA GK, Poznań;4690;23271078;84841;Poznań, PL;52.440615 16.91905;PL,PL;52.441920;16.918792
6;4;PGE Polska Grupa Energetyczna GK SA, Warszawa;3514;23100000;2667000;Warszawa, PL;52.231924 21.006727;PL,PL;52.208504;21.030964
7;7;KGHM Polska Miedź SA GK, Lubin;729;20358000;1525000;Lubin, PL;51.397447 16.205128;PL,PL;51.393219;16.210665
8;8;Tauron Polska Energia SA GK, Katowice;3514;17416029;1382946;Katowice, PL;50.259899 19.021585;PL,PL;50.247404;19.019107
9;13;Orlen Paliwa sp. z o.o., Widełka;4671;17192400;48998;Widełka, PL;50.209503 21.899191;PL,PL;50.209795;21.900406
10;10;Cinkciarz.pl sp. z o.o., Zielona Góra;6612;17030978;617;Zielona Góra, PL;51.938334 15.504995;Góra,;51.935211;15.509166
11;12;Volkswagen Poznań sp. z o.o., Poznań;2910;16161395;451336;Poznań, PL;52.440615 16.91905;PL,PL;52.443520;16.895214
12;11;Lidl sp. z o.o. sp.k., Tarnowo Podgórne;4711;16048568;b.d.;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;52.464015;16.665274
13;16;ArcelorMittal Poland SA, Dąbrowa Górnicza;2410;15718576;311860;Dąbrowa Górnicza, PL;50.330981 19.196328;Górnicza,;50.327347;19.195477
14;9;FCA Poland SA, Bielsko-Biała;2910;14382606;310743;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;49.828461;19.036217
15;18;Volkswagen Group Polska sp. z o.o., Poznań;4511;13154494;115205;Poznań, PL;52.440615 16.91905;PL,PL;52.426586;16.905207
16;15;Enea SA GK, Poznań;3511;11661269;1164891;Poznań, PL;52.440615 16.91905;PL,PL;52.440116;16.905446
17;20;PSH Lewiatan GK, Włocławek;7740;11500000;b.d.;Włocławek, PL;52.651059 19.064102;PL,PL;52.652805;19.069306
18;14;Orange Polska SA GK, Warszawa;6110;11381000;-60000;Warszawa, PL;52.231924 21.006727;PL,PL;52.196233;21.049768
19;17;BP Europa SE, Kraków;4671;11009763;399874;Kraków, PL;50.064529 19.983206;PL,PL;50.073682;20.005111
20;19;Tesco (Polska) sp. z o.o., Kraków;4729;10600000;b.d.;Kraków, PL;50.064529 19.983206;PL,PL;50.078779;19.964361
21;22;Energa SA GK, Gdańsk;3514;10533915;789313;Gdańsk, PL;54.347628 18.645203;PL,PL;54.346821;18.651580
22;24;Auchan Polska sp. z o.o., Piaseczno;4711;10212000;113934;Piaseczno, PL;53.58206 16.13332;PL,PL;53.577606;16.137838
23;23;Kaufland Polska Markety sp. z o.o. sp.k., Wrocław;4711;10079118;204499;Wrocław, PL;51.108978 17.032669;PL,PL;51.129955;17.027788
24;25;Cyfrowy Polsat SA GK, Warszawa;6020;9828600;945200;Warszawa, PL;52.231924 21.006727;PL,PL;52.212675;21.046238
25;28;PGL Lasy Państwowe, Warszawa;210;9716277;432455;Warszawa, PL;52.231924 21.006727;PL,PL;52.214068;21.005428
26;27;PPHU Specjał sp. z o.o. GK, Warszawa;4639;9654764;13257;Warszawa, PL;52.231924 21.006727;PL,PL;52.275570;20.991992
27;29;Grupa Azoty SA GK, Tarnów;2015;9617495;488826;Tarnów, PL;50.012378 20.988074;PL,PL;50.018250;20.986646
28;26;Pelion SA GK, Łódź;4646;9436392;74431;Łódź, PL;51.768732 19.456991;PL,PL;51.767521;19.453971
29;30;Polskie Sieci Elektroenergetyczne SA, Konstancin;3512;8886789;530952;Konstancin, PL;52.094186 19.348618;PL,PL;52.094935;19.349210
30;39;Jastrzębska Sp. Węglowa SA GK, Jastrzębie-Zdrój;510;8877200;2543300;Jastrzębie-Zdrój, PL;49.951909 18.602361;PL,PL;49.948190;18.601278
31;32;Grupa PKP SA, Warszawa;7010;8501384;652934;Warszawa, PL;52.231924 21.006727;PL,PL;52.174048;21.010553
32;31;AB SA GK, Magnice;4690;8481070;64565;Magnice, PL;50.989386 16.952736;PL,PL;50.989643;16.949892
33;51;LG Electronics Mława sp. z o.o., Mława;2640;8432249;26977;Mława, PL;53.111509 20.382012;PL,PL;53.114883;20.379997
34;87;Polska Grupa Górnicza SA GK, Katowice;510;8238086;91677;Katowice, PL;50.259899 19.021585;PL,PL;50.265148;19.027612
35;21;Opel Manufacturing Poland sp. z o.o., Gliwice;2910;8131955;207005;Gliwice, PL;50.294113 18.665731;PL,PL;50.292996;18.666839
36;33;Asseco Poland SA GK, Rzeszów;6201;7830500;600100;Rzeszów, PL;50.037453 22.004717;PL,PL;50.047590;22.005203
37;36;Rossmann SD Polska sp. z o.o., Łódź;4775;7706003;859078;Łódź, PL;51.768732 19.456991;PL,PL;51.775324;19.465049
38;34;Carrefour Polska sp. z o.o., Warszawa;4711;7583528;2026;Warszawa, PL;52.231924 21.006727;PL,PL;52.189603;20.980378
39;35;Neuca SA GK, Toruń;4646;7485234;94060;Toruń, PL;53.021067 18.618612;PL,PL;53.018068;18.620624
40;43;Żabka Polska sp. z o.o., Poznań;7010;7200000;b.d.;Poznań, PL;52.440615 16.91905;PL,PL;52.448770;16.933600
41;67;Synthos SA GK, Oświęcim;2416;7152963;b.d.;Oświęcim, PL;50.038088 19.226107;PL,PL;50.040390;19.227775
42;42;Grupa Muszkieterów, Tarnowo Podgórne;4719;7100000;b.d.;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;52.468405;16.671351
43;48;LPP SA GK, Gdańsk;4771;7029425;440851;Gdańsk, PL;54.347628 18.645203;PL,PL;54.337752;18.628870
44;38;Polkomtel sp. z o.o., Warszawa;6110;6983600;384500;Warszawa, PL;52.231924 21.006727;PL,PL;52.240882;20.960789
45;41;Philips Lighting Poland sp. z o.o., Piła;2740;6932875;41416;Piła, PL;49.413967 12.856068;PL,PL;49.419056;12.857538
