"COU","Country","MAREG","Macroregion","MEAS","Measure","VARIABLE","Land cover class","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","1992","1992","KM2","Square kilometres","3","Thousands",,,369.61174,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2004","2004","KM2","Square kilometres","3","Thousands",,,366.71336,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2015","2015","KM2","Square kilometres","3","Thousands",,,338.40995,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","1992","1992","KM2","Square kilometres","3","Thousands",,,598.19509,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2004","2004","KM2","Square kilometres","3","Thousands",,,630.43371,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2015","2015","KM2","Square kilometres","3","Thousands",,,630.97687,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","1992","1992","KM2","Square kilometres","3","Thousands",,,914.36983,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2004","2004","KM2","Square kilometres","3","Thousands",,,893.04641,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2015","2015","KM2","Square kilometres","3","Thousands",,,899.01698,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","1992","1992","KM2","Square kilometres","3","Thousands",,,1205.45748,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2004","2004","KM2","Square kilometres","3","Thousands",,,1221.33512,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2015","2015","KM2","Square kilometres","3","Thousands",,,1223.63517,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","1992","1992","KM2","Square kilometres","3","Thousands",,,1717.57924,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2004","2004","KM2","Square kilometres","3","Thousands",,,1678.14291,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2015","2015","KM2","Square kilometres","3","Thousands",,,1673.97343,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","1992","1992","KM2","Square kilometres","3","Thousands",,,2795.93505,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2004","2004","KM2","Square kilometres","3","Thousands",,,2809.6193,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2015","2015","KM2","Square kilometres","3","Thousands",,,2831.67445,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","1992","1992","KM2","Square kilometres","3","Thousands",,,7.76055,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","2004","2004","KM2","Square kilometres","3","Thousands",,,10.59564,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","2015","2015","KM2","Square kilometres","3","Thousands",,,12.04471,,
"AUS","Australia","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","1992","1992","KM2","Square kilometres","3","Thousands",,,20.94914,,
