GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
EuropeanUnion28;1021941396;946803175;1006834200;1077378862;1133558823;1191592955;1211064155;1422151041;1484015095;:
EuropeanUnion27;987680179;913445331;973599318;1041989860;1076478856;1132214059;1146438009;1356468031;1411950513;:
Belgium;16360702;15451017;16169676;16723867;16432646;16511721;17068872;18852087;17063194;18656843
Bulgaria;11791454;9460922;10547112;12426723;13451440;14370426;14077798;13352281;16150666;17105567
Czechia;19987022;17746893;18365947;19424839;21793985;22144896;22110112;23286515;24268149;26257013
Denmark;8918197;8299403;8981992;9491137;9608124;9914273;10608119;11171416;11630004;11914787
Germany (until 1990 former territory of the FRG);56239679;54096574;59658760;63081467;68161503;71191942;74805253;78827773;79946914;83111219
Estonia;2932662;2740696;3203721;3748865;3823039;3909326;3919299;3770207;4014581;4150419
Ireland;21535000;:;:;:;11839245;10871806;11276424;13462348;16190381;:
Greece;47973949;57413304;59184397;65514230;61054383;68992640;74675156;78254524;80025756;89284386
Spain;223756216;200551728;213349649;239369167;243389006;252447766;259635794;269418103;294556428;305907462
France;106993811;98705212;120390105;123227704;125038453;132251136;130908700;130464997;123913410;133499991
Croatia;33902735;33357844;33234882;35389002;57079967;59378896;61072661;65683010;72064582;80176804
Italy;161797434;159493866;165202498;176474062;180594988;184793382;186792507;192607930;199421814;210658786
Cyprus;13208954;11666663;12448158;13112596;13488127;13152589;12884399;12550320;14504702;15946809
Latvia;2115618;1699562;1912336;2257021;2429093;2639434;2875934;2873885;3044532;3406527
Lithuania;1626829;1395899;1571325;1883003;2680048;2906201;3033826;3010727;3273420;3431233
Luxembourg;2249545;2075831;1717130;2057883;2298068;2313124;2513585;2655733;2637701;2573589
Hungary;10009531;9220148;9358373;9920339;11392183;11982883;12351330;12962395;13802045;14941781
Malta;7581137;6550794;7208295;7361449;7498421;8172407;8428215;8542055;8622438;9184162
Netherlands;25267600;25013700;26799800;27739000;27845942;31770508;34423552;37297588;39623541;44169041
Austria;74730956;72224605;72585976;73647325;77158431;78433546;78099096;80304956;83398372;86044321
Poland;10173237;9609447;10064628;10620264;11876599;12471268;12992241;13757657;15579225;16705215
Portugal;28126716;25024678;25386084;27860103;29033970;32078773;35630345;38897329;43959295;48884842
Romania;3359244;2667666;2766581;3066882;3291504;3471152;3762465;4460017;4812050;5267970
Slovenia;5085308;4656825;4680456;5106452;5702306;5887862;6004623;6529086;7252070;8478019
Slovakia;5144831;3707327;3749566;3990300;4039410;4277598;3852147;4384800;5038214;5316945
Finland;5502554;4890006;5005068;5507468;5802959;5860447;5710702;5510350;5771275;6742834
Sweden;10920106;11317502;11184995;11344435;11299455;11442690;12260712;13612924;13997265;14638702
United Kingdom;80393221;79920519;84610527;87993917;105455528;:;:;275650028;279453071;:
