wteryt;teryt;powiat;y2012;y2017;tz2017;region
14;1437;żuromiński;0;0;0;m
14;1409;lipski;0;0;0;m
28;2812;nowomiejski;3;2;0;n
14;1427;sierpecki;5;4;0;m
24;2470;m.Mysłowice;0;0;0;s
18;1806;kolbuszowski;2;2;1;e
14;1411;makowski;2;1;7;m
22;2216;sztumski;0;0;11;n
10;1015;skierniewicki;0;0;12;c
02;0204;górowski;0;0;14;sw
14;1404;gostyniński;0;0;17;m
24;2476;m.Świętochłowice;1;1;20;s
20;2006;kolneński;1;2;22;e
06;0613;parczewski;2;3;33;e
14;1433;węgrowski;2;3;34;m
28;2811;nidzicki;3;2;36;n
04;0417;wąbrzeski;0;1;44;n
20;2014;zambrowski;4;3;50;e
04;0411;radziejowski;0;0;54;n
10;1009;pajęczański;3;2;54;c
24;2412;rybnicki;1;1;77;s
14;1419;płocki;8;6;85;m
32;3202;choszczeński;4;3;89;nw
04;0409;mogileński;2;3;96;n
18;1819;strzyżowski;1;4;99;e
12;1204;dąbrowski;0;1;104;s
14;1423;przysuski;1;2;108;m
14;1429;sokołowski;3;1;110;m
20;2008;moniecki;3;2;126;e
10;1004;łęczycki;4;3;130;c
04;0412;rypiński;1;2;134;n
26;2608;pińczowski;1;2;137;c
14;1410;łosicki;2;1;140;m
10;1021;brzeziński;1;1;152;c
18;1802;brzozowski;3;3;166;e
28;2813;olecki;2;3;183;n
02;0222;wołowski;2;1;207;sw
26;2603;kazimierski;1;3;208;c
14;1422;przasnyski;2;2;229;m
04;0416;tucholski;1;2;235;n
04;0406;grudziądzki;1;2;258;n
06;0615;radzyński;2;2;264;e
06;0611;łukowski;1;2;265;e
24;2406;kłobucki;1;1;270;s
04;0418;włocławski;3;3;270;n
02;0224;ząbkowicki;4;5;283;sw
12;1203;chrzanowski;4;5;284;s
18;1805;jasielski;4;6;289;e
20;2009;sejneński;2;2;317;e
10;1063;m.Skierniewice;3;1;327;c
26;2602;jędrzejowski;2;4;329;c
14;1415;ostrołęcki;2;2;334;m
26;2613;włoszczowski;4;3;340;c
30;3027;turecki;5;4;341;nw
30;3022;rawicki;4;3;341;nw
04;0413;sępoleński;3;5;345;n
24;2404;częstochowski;4;4;358;s
30;3023;słupecki;2;3;363;nw
20;2013;wysokomazowiecki;0;2;374;e
26;2605;konecki;9;9;377;c
28;2803;działdowski;6;7;396;n
12;1214;proszowicki;4;4;396;s
06;0605;janowski;2;4;418;e
14;1401;białobrzeski;4;3;431;m
04;0410;nakielski;4;5;433;n
26;2612;staszowski;4;5;435;c
04;0405;golubsko-dobrzyński;3;3;459;n
14;1436;zwoleński;0;1;470;m
32;3201;białogardzki;2;2;484;nw
26;2606;opatowski;1;4;485;c
30;3005;grodziski;5;5;506;nw
32;3212;pyrzycki;0;2;506;nw
02;0217;strzeliński;1;1;512;sw
30;3016;obornicki;3;3;512;nw
06;0616;rycki;4;2;514;e
16;1602;głubczycki;1;1;518;sw
30;3028;wągrowiecki;3;2;521;nw
30;3031;złotowski;3;4;539;nw
02;0207;kamiennogórski;3;4;543;sw
02;0213;milicki;3;3;546;sw
06;0612;opolski;4;6;579;e
18;1807;krośnieński;10;11;591;e
18;1812;niżański;0;1;601;e
32;3216;świdwiński;2;1;641;nw
18;1820;tarnobrzeski;5;7;644;e
20;2004;grajewski;0;3;653;e
10;1007;opoczyński;6;6;654;c
06;0606;krasnostawski;4;4;663;e
04;0408;lipnowski;3;5;669;n
16;1611;strzelecki;3;2;709;sw
10;1003;łaski;6;5;715;c
10;1018;wieruszowski;3;3;725;c
06;0604;hrubieszowski;2;4;732;e
30;3011;kościański;6;5;753;nw
06;0607;kraśnicki;1;1;803;e
30;3018;ostrzeszowski;4;3;809;nw
06;0620;zamojski;6;8;815;e
06;0602;biłgorajski;6;6;832;e
08;0812;wschowski;5;5;848;nw
06;0619;włodawski;3;4;859;e
32;3218;łobeski;1;3;865;nw
06;0608;lubartowski;4;6;868;e
14;1461;m.Ostrołęka;3;2;871;m
30;3007;kaliski;5;9;879;nw
10;1005;łowicki;8;5;889;c
14;1425;radomski;4;7;895;m
02;0218;średzki;3;4;910;sw
22;2206;kościerski;11;11;922;n
18;1864;m.Tarnobrzeg;5;5;935;e
30;3009;kolski;5;6;968;nw
06;0610;łęczyński;2;2;972;e
16;1606;namysłowski;5;5;975;sw
14;1407;kozienicki;1;3;995;m
30;3025;średzki;6;7;1046;nw
30;3062;m.Konin;2;2;1127;nw
18;1809;lubaczowski;2;3;1138;e
18;1808;leżajski;4;4;1141;e
16;1610;prudnicki;2;3;1170;sw
12;1212;olkuski;5;5;1179;s
28;2804;elbląski;5;4;1244;n
28;2818;gołdapski;5;5;1251;n
12;1215;suski;7;7;1353;s
26;2611;starachowicki;3;3;1369;c
26;2610;skarżyski;5;8;1486;c
26;2607;ostrowiecki;9;9;1493;c
24;2467;m.Jastrzębie-Zdrój;3;5;1521;s
18;1814;przeworski;2;4;1543;e
04;0419;żniński;5;6;1546;n
08;0802;krośnieński;6;4;1548;nw
04;0404;chełmiński;3;4;1574;n
20;2011;sokólski;2;2;1578;e
20;2010;siemiatycki;4;5;1579;e
30;3026;śremski;6;5;1657;nw
14;1424;pułtuski;3;2;1685;m
16;1608;oleski;4;7;1704;sw
14;1416;ostrowski;1;1;1729;m
22;2213;starogardzki;4;4;1755;n
04;0403;bydgoski;10;16;1765;n
22;2201;bytowski;3;3;1772;n
28;2819;węgorzewski;2;4;1776;n
10;1019;zduńskowolski;6;6;1802;c
16;1605;krapkowicki;7;7;1856;sw
22;2202;chojnicki;10;10;1890;n
08;0804;nowosolski;7;6;1895;nw
10;1011;poddębicki;8;10;1905;c
30;3020;pleszewski;3;6;1940;nw
24;2414;bieruńsko-lędziński;1;3;1941;s
26;2601;buski;10;16;1953;c
14;1403;garwoliński;4;6;1971;m
30;3029;wolsztyński;10;9;1977;nw
12;1207;limanowski;9;11;1981;s
22;2203;człuchowski;3;4;1983;n
30;3006;jarociński;6;6;1991;nw
18;1801;bieszczadzki;7;12;2010;e
30;3001;chodzieski;12;10;2071;nw
32;3204;goleniowski;5;10;2176;nw
14;1420;płoński;4;8;2183;m
24;2416;zawierciański;8;12;2193;s
14;1438;żyrardowski;5;6;2196;m
28;2817;szczycieński;6;8;2203;n
22;2207;kwidzyński;6;6;2221;n
30;3014;międzychodzki;4;4;2235;nw
16;1601;brzeski;2;6;2238;sw
04;0414;świecki;7;9;2241;n
12;1202;brzeski;5;7;2244;s
24;2408;mikołowski;6;5;2246;s
14;1426;siedlecki;4;4;2270;m
04;0402;brodnicki;5;10;2287;n
08;0806;strzelecko-drezdenecki;5;5;2388;nw
14;1412;miński;8;8;2392;m
24;2462;m.Bytom;4;5;2448;s
02;0216;polkowicki;5;3;2471;sw
30;3063;m.Leszno;6;5;2486;nw
24;2479;m.Żory;3;5;2534;s
28;2816;piski;10;10;2540;n
02;0212;lwówecki;3;4;2575;sw
02;0203;głogowski;4;4;2579;sw
30;3002;czarnkowsko-trzcianecki;8;7;2645;nw
10;1014;sieradzki;5;7;2689;c
22;2205;kartuski;10;14;2691;n
18;1815;ropczycko-sędziszowski;7;8;2704;e
06;0603;chełmski;2;2;2713;e
24;2472;m.Ruda Śląska;2;3;2747;s
28;2801;bartoszycki;5;5;2797;n
12;1201;bocheński;10;11;2814;s
02;0211;lubiński;5;7;2881;sw
10;1001;bełchatowski;11;7;2905;c
30;3012;krotoszyński;6;6;2935;nw
10;1017;wieluński;11;8;2938;c
24;2407;lubliniecki;6;6;2939;s
04;0462;m.Grudziądz;6;9;2966;n
24;2474;m.Siemianowice Śląskie;2;2;3068;s
28;2814;olsztyński;10;12;3106;n
06;0662;m.Chełm;4;4;3131;e
20;2003;bielski;3;2;3135;e
16;1609;opolski;6;7;3162;sw
20;2012;suwalski;3;4;3175;e
28;2807;iławski;10;14;3184;n
04;0407;inowrocławski;8;8;3186;n
28;2808;kętrzyński;7;4;3193;n
18;1817;sanocki;4;10;3195;e
06;0617;świdnicki;2;7;3206;e
14;1406;grójecki;8;9;3210;m
16;1604;kluczborski;2;7;3214;sw
02;0220;trzebnicki;5;5;3239;sw
32;3217;wałecki;6;7;3240;nw
22;2214;tczewski;11;12;3252;n
32;3215;szczecinecki;5;6;3275;nw
02;0205;jaworski;5;4;3385;sw
04;0415;toruński;6;10;3390;n
24;2415;wodzisławski;5;6;3408;s
30;3024;szamotulski;6;6;3428;nw
18;1818;stalowowolski;4;5;3431;e
04;0464;m.Włocławek;9;12;3449;n
28;2805;ełcki;8;7;3452;n
24;2417;żywiecki;14;21;3463;s
10;1012;radomszczański;7;6;3488;c
10;1002;kutnowski;10;9;3494;c
30;3017;ostrowski;12;13;3508;nw
30;3004;gostyński;6;4;3517;nw
30;3013;leszczyński;13;13;3582;nw
30;3003;gnieźnieński;21;14;3600;nw
18;1810;łańcucki;8;11;3644;e
24;2409;myszkowski;4;7;3644;s
06;0618;tomaszowski;4;8;3735;e
18;1861;m.Krosno;6;9;3824;e
08;0809;zielonogórski;8;8;3829;nw
30;3061;m.Kalisz;8;9;3870;nw
10;1016;tomaszowski;11;11;3883;c
12;1209;myślenicki;5;14;3960;s
32;3203;drawski;4;6;3979;nw
30;3008;kępiński;3;4;4000;nw
32;3210;myśliborski;7;7;4020;nw
28;2802;braniewski;5;5;4030;n
16;1603;kędzierzyńsko-kozielski;3;8;4034;sw
24;2405;gliwicki;7;6;4089;s
24;2473;m.Rybnik;8;6;4094;s
08;0801;gorzowski;6;4;4160;nw
12;1205;gorlicki;11;13;4220;s
32;3206;gryfiński;8;7;4239;nw
12;1218;wadowicki;9;12;4415;s
22;2210;nowodworski;7;14;4445;n
02;0209;legnicki;3;3;4459;sw
18;1813;przemyski;2;6;4474;e
18;1803;dębicki;6;11;4519;e
