EventId;InvestigationType;AccidentNumber;EventDate;Location;Country;Latitude;Longitude;AirportCode;AirportName;InjurySeverity;AircraftDamage;AircraftCategory;RegistrationNumber;Make;Model;AmateurBuilt;NumberOfEngines;EngineType;FARDescription;Schedule;PurposeOfFlight;AirCarrier;TotalFatalInjuries;TotalSeriousInjuries;TotalMinorInjuries;TotalUninjured;WeatherCondition;BroadPhaseOfFlight;ReportStatus;PublicationDate
20180913X21320;Incident;ENG18IA036;09/05/2018;Atlanta, GA;United States;;;;;Incident;Minor;Airplane;N668DN;Boeing;757;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;Delta Air Lines;;;;;;TAKEOFF;Preliminary;09/20/2018
20180823X24557;;GAA18CA506;08/22/2018;Ridgeway, PA;United States;41.401111;-78.561389;;N/A;Non-Fatal;Substantial;Helicopter;N89ZC;Hughes;369;No;;;Part 91: General Aviation;;Aerial Observation;;;;;2;;;Preliminary;09/04/2018
20180813X11107;Incident;DCA18IA265;08/10/2018;Philadelphia, PA;United States;;;;;Incident;;Airplane;N619A;Gulfstream;G IV;No;2;Turbo Fan;Part 135: Air Taxi & Commuter;NSCH;;Quogue Aviation Llc;;;;7;;GO-AROUND;Preliminary;09/06/2018
20180731X72036;;GAA18CA454;07/24/2018;Big Lake, AK;United States;;;;;Unavailable;Substantial;Airplane;N171Q;Cessna;172;No;1;;Part 91: General Aviation;;;;;;;;;;Preliminary;09/05/2018
20180810X14935;Incident;ERA18WA216;07/12/2018;Catamarca, Argentina;Argentina;;;SANC;;Incident;Minor;Airplane;;CESSNA;501;No;;;Unknown;;;;;;;;;;Foreign;
20180702X05713;Incident;OPS18IA014;06/27/2018;Springfield, MO;United States;37.245555;-93.388611;SGF;Springfield-Branson National A;Incident;;Airplane;;Embraer;EMB145;No;2;;;SCHD;;;;;;53;VMC;TAKEOFF;Preliminary;07/23/2018
20180622X92612;Incident;OPS18IA015;06/21/2018;Chicago, IL;United States;;;;;Incident;;Airplane;;BOEING;747;No;;;;NSCH;;;;;;4;IMC;LANDING;Preliminary;07/24/2018
20180728X13227;Incident;WPR18WA208;05/30/2018;Pretoria, South Africa;South Africa;25.665000;28.220556;FAWB;Wonderboom Airport;Incident;Minor;Airplane;;Piper;PA28;No;2;Reciprocating;Non-U.S., Commercial;;;;;;;2;;LANDING;Foreign;
20180531X34658;Incident;ERA18WA156;05/28/2018;Tulua, Colombia;Colombia;4.096111;-76.223611;SKUL;Heriberto Gil Martinez Airport;Incident;Minor;Airplane;;CESSNA;152;No;;;Non-U.S., Non-Commercial;;Instructional;;;;;2;;CRUISE;Foreign;
20180529X13624;Incident;ENG18RA029;05/24/2018;Kumamoto, Japan, Japan;Japan;;;;;Incident;Minor;Airplane;;BOEING;767;;;;Unknown;;;;;;;;;TAKEOFF;Foreign;
20180517X32316;Incident;ENG18WA027;05/16/2018;Geuteng, South Africa, South Africa;South Africa;;;;;Incident;;Airplane;;BOMBARDIER;CL600 2B19;No;;;Unknown;;;;;;;;;CRUISE;Foreign;
20180705X90932;Incident;CEN18WA253;05/02/2018;Geneva, Switzerland;Switzerland;;;;;Incident;;Airplane;;Beech;400;No;2;Turbo Fan;Non-U.S., Commercial;;;;;;;2;;;Foreign;
20180502X95830;Incident;CEN18WA155;04/28/2018;Bremgarten, Germany;Germany;;;EDTG;;Incident;;Airplane;N670JD;DASSAULT-BREGUET;FALCON 900;;;;Part 91: General Aviation;;;;;;;4;;LANDING;Foreign;
20180508X94008;Incident;ENG18WA025;04/14/2018;Brisbane, QLD, Australia;Australia;;;;;Incident;;Airplane;;AIRBUS;A330;;;;Unknown;;;;;;;;;TAKEOFF;Foreign;
20180405X63142;Incident;WPR18WA117;04/03/2018;East London, South Africa;South Africa;;;FAEL;East London;Incident;Minor;Airplane;;BEECH AIRCRAFT CORPORATION;58;No;;;Non-U.S., Non-Commercial;;;;;;;1;;LANDING;Foreign;
20180403X83025;Incident;ENG18WA021;03/29/2018;Chek Lap Kok, Hong Kong;Hong Kong;;;;;Incident;;Airplane;;BOEING;747;No;4;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;5;;APPROACH;Foreign;
20180308X72134;Incident;ENG18RA018;03/02/2018;Broome, Australia, Australia;Australia;-18.091111;122.577223;;;Incident;;Airplane;;CESSNA;441;No;;;Non-U.S., Commercial;;;;;;;10;;APPROACH;Foreign;
